file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,69,css,fda2c795,Tanya301,2025-02-07,15:36:30,-08:00,2025-02-07T15:36:30-08:00,0,17
style.css,70,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,71,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,72,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,13
style.css,73,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,13
style.css,74,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,59
style.css,75,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,8
style.css,76,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,0
style.css,77,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,12
style.css,78,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,13
style.css,79,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,30
style.css,80,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,16
style.css,81,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,82,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,15
style.css,83,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,9
style.css,84,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,85,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,0
style.css,86,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,3
style.css,87,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,15
style.css,88,css,2d82f7dd,Tanya301,2025-01-17,12:49:47,-08:00,2025-01-17T12:49:47-08:00,0,0
style.css,89,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,23
style.css,90,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,16
style.css,91,css,548cf35e,Tanya301,2025-01-17,17:59:38,-08:00,2025-01-17T17:59:38-08:00,0,18
style.css,92,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,16
style.css,93,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,0
style.css,94,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,0
style.css,95,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,8
style.css,96,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,13
style.css,97,css,8fee0dde,Tanya301,2025-01-24,19:50:42,-08:00,2025-01-24T19:50:42-08:00,0,59
style.css,98,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,9
style.css,99,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,13
style.css,100,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,0
style.css,101,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,16
style.css,102,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,13
style.css,103,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,46
style.css,104,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,13
style.css,105,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,0
style.css,106,css,8fee0dde,Tanya301,2025-01-24,19:50:42,-08:00,2025-01-24T19:50:42-08:00,0,14
style.css,107,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,33
style.css,108,css,8fee0dde,Tanya301,2025-01-24,19:50:42,-08:00,2025-01-24T19:50:42-08:00,0,113
style.css,109,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,11
style.css,110,css,fda2c795,Tanya301,2025-02-07,15:36:30,-08:00,2025-02-07T15:36:30-08:00,0,17
style.css,111,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,0
style.css,112,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,11
style.css,113,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,26
style.css,114,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,0
style.css,115,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,15
style.css,116,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,19
style.css,117,css,8601f11d,Tanya301,2025-01-17,19:36:54,-08:00,2025-01-17T19:36:54-08:00,0,18
style.css,118,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,0
style.css,119,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,0
style.css,120,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,19
style.css,121,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,18
style.css,122,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,8
style.css,123,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,10
style.css,124,css,53e92c3a,Tanya301,2025-01-24,15:31:40,-08:00,2025-01-24T15:31:40-08:00,0,14
style.css,125,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,0
style.css,126,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,0
style.css,127,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,3
style.css,128,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,13
style.css,129,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,18
style.css,130,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,0
style.css,131,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,0
style.css,132,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,3
style.css,133,css,eae7f4d9,Tanya301,2025-01-31,18:56:37,-08:00,2025-01-31T18:56:37-08:00,0,11
style.css,134,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,15
style.css,135,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,17
style.css,136,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,11
style.css,137,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,25
style.css,138,css,0feae0b2,Tanya301,2025-01-31,15:09:20,-08:00,2025-01-31T15:09:20-08:00,0,0
